names,satisfaction_level,last_evaluation,number_project,average_monthly_hours,exp_in_company,work_accident,left,promotion_last_5years,role,salary
Jessica Stroud,0.38,0.53,2,157,3,0,1,0,sales,low
Daryl Fields,0.8,0.86,5,262,6,0,1,0,sales,medium
Daisy Anderson,0.11,0.88,7,272,4,0,1,0,sales,medium
Joseph Fernandez,0.72,0.87,5,223,5,0,1,0,sales,low
Herbert Moore,0.37,0.52,2,159,3,0,1,0,sales,low
Daniel Belew,0.41,0.5,2,153,3,0,1,0,sales,low
Shawn Paul,0.1,0.77,6,247,4,0,1,0,sales,low
Linda Bobbitt,0.92,0.85,5,259,5,0,1,0,sales,low
Kim Hernandez,0.89,1,5,224,5,0,1,0,sales,low
Gina Mahan,0.42,0.53,2,142,3,0,1,0,sales,low
Sherry Weeks,0.45,0.54,2,135,3,0,1,0,sales,low
Jenifer Smith,0.11,0.81,6,305,4,0,1,0,sales,low
Darrell Richardson,0.84,0.92,4,234,5,0,1,0,sales,low
Christie Neel,0.41,0.55,2,148,3,0,1,0,sales,low
Angelina Carter,0.36,0.56,2,137,3,0,1,0,sales,low
Kelly Rodriguez,0.38,0.54,2,143,3,0,1,0,sales,low
Karen Porter,0.45,0.47,2,160,3,0,1,0,sales,low
Christopher Mann,0.78,0.99,4,255,6,0,1,0,sales,low
Mary Roy,0.45,0.51,2,160,3,1,1,1,sales,low
Timothy Williams,0.76,0.89,5,262,5,0,1,0,sales,low
Joseph Orduna,0.11,0.83,6,282,4,0,1,0,sales,low
Kelsey Savage,0.38,0.55,2,147,3,0,1,0,sales,low
Constance Swenson,0.09,0.95,6,304,4,0,1,0,sales,low
Helen Wendte,0.46,0.57,2,139,3,0,1,0,sales,low
Timothy Badger,0.4,0.53,2,158,3,0,1,0,sales,low
Jack Jersey,0.89,0.92,5,242,5,0,1,0,sales,low
David Belanger,0.82,0.87,4,239,5,0,1,0,sales,low
Gregory Heyne,0.4,0.49,2,135,3,0,1,0,sales,low
Christina Allmon,0.41,0.46,2,128,3,0,1,0,accounting,low
Amy Carpenter,0.38,0.5,2,132,3,0,1,0,accounting,low
Kimberly Hogan,0.09,0.62,6,294,4,0,1,0,accounting,low
Michael Barbosa,0.45,0.57,2,134,3,0,1,0,hr,low
Brittany Couch,0.4,0.51,2,145,3,0,1,0,hr,low
Bonnie Kleis,0.45,0.55,2,140,3,0,1,0,hr,low
Nina Ortega,0.84,0.87,4,246,6,0,1,0,hr,low
Lori Strope,0.1,0.94,6,255,4,0,1,0,technical,low
Ruby Little,0.38,0.46,2,137,3,0,1,0,technical,low
Nancy Johnson,0.45,0.5,2,126,3,0,1,0,technical,low
Susan Waldman,0.11,0.89,6,306,4,0,1,0,technical,low
Cara Usrey,0.41,0.54,2,152,3,0,1,0,technical,low
Beverly Richardson,0.87,0.88,5,269,5,0,1,0,technical,low
Laura Bradley,0.45,0.48,2,158,3,0,1,0,technical,low
Jacqueline Rittenhouse,0.4,0.46,2,127,3,0,1,0,technical,low
Gayle Santiago,0.1,0.8,7,281,4,0,1,0,technical,low
Jesus Gunderson,0.09,0.89,6,276,4,0,1,0,technical,low
Joyce Lafond,0.84,0.74,3,182,4,0,1,0,technical,low
Wanda Choi,0.4,0.55,2,147,3,0,1,0,support,low
Sadie Randall,0.57,0.7,3,273,6,0,1,0,support,low
Dwight Pless,0.4,0.54,2,148,3,0,1,0,support,low
Peter Dickens,0.43,0.47,2,147,3,0,1,0,support,low
Mary Spina,0.13,0.78,6,152,2,0,1,0,support,low
Cheryl Vachon,0.44,0.55,2,135,3,0,1,0,support,low
Linwood Johnston,0.38,0.55,2,134,3,0,1,0,support,low
Jay Lewis,0.39,0.54,2,132,3,0,1,0,support,low
Stanley Williamson,0.1,0.92,7,307,4,0,1,0,support,low
Jerry Fitzgerald,0.37,0.46,2,140,3,0,1,0,support,low
Doyle Juariqui,0.11,0.94,7,255,4,0,1,0,support,low
Michael Tarbox,0.1,0.81,6,309,4,0,1,0,technical,low
Sheri Cheatham,0.38,0.54,2,128,3,0,1,0,technical,low
Candy Bergeron,0.85,1,4,225,5,0,1,0,technical,low
Carol Combs,0.85,0.91,5,226,5,0,1,0,management,medium
Douglas Blatz,0.11,0.93,7,308,4,0,1,0,IT,medium
Jeff Paris,0.1,0.95,6,244,5,0,1,0,IT,medium
Anthony Loveday,0.36,0.56,2,132,3,0,1,0,IT,medium
Vesta Robertson,0.11,0.94,6,286,4,0,1,0,IT,medium
Juan Killough,0.81,0.7,6,161,4,0,1,0,IT,medium
Steven Davis,0.43,0.54,2,153,3,0,1,0,product_mng,medium
Mavis Salinas,0.9,0.98,4,264,6,0,1,0,product_mng,medium
Robin South,0.76,0.86,5,223,5,1,1,0,product_mng,medium
Michael Gold,0.43,0.5,2,135,3,0,1,0,product_mng,medium
Paul Boynton,0.74,0.99,2,277,3,0,1,0,IT,medium
Karen Brooks,0.09,0.77,5,275,4,0,1,0,product_mng,medium
James Shaw,0.45,0.49,2,149,3,0,1,0,product_mng,high
Michael Dixon,0.09,0.87,7,295,4,0,1,0,product_mng,low
Jacquelyn Reardon,0.11,0.97,6,277,4,0,1,0,product_mng,medium
Kathleen Kuznicki,0.11,0.79,7,306,4,0,1,0,product_mng,medium
Betty Petitjean,0.1,0.83,6,295,4,0,1,0,product_mng,medium
Thomas Noonan,0.4,0.54,2,137,3,0,1,0,marketing,medium
Beatrice Alford,0.43,0.56,2,157,3,0,1,0,sales,low
Lynda Grier,0.39,0.56,2,142,3,0,1,0,accounting,low
Eric Gill,0.45,0.54,2,140,3,0,1,0,support,low
Anthony Blakely,0.38,0.49,2,151,3,0,1,0,technical,low
Suzanne Copley,0.79,0.59,4,139,3,0,1,1,management,low
Brett Woodard,0.84,0.85,4,249,6,0,1,0,marketing,low
Cynthia Patton,0.11,0.77,6,291,4,0,1,0,marketing,low
Sandra Boyd,0.11,0.87,6,305,4,0,1,0,marketing,low
Leah Winters,0.17,0.84,5,232,3,0,1,0,sales,low
Shirley Fleischer,0.44,0.45,2,132,3,0,1,0,sales,low
Fredrick Pickard,0.37,0.57,2,130,3,0,1,0,sales,low
Virginia Chavez,0.1,0.79,6,291,4,0,1,0,sales,low
Chris Bence,0.4,0.5,2,130,3,0,1,0,sales,low
William Lusby,0.89,1,5,246,5,0,1,0,sales,low
Monica Ward,0.42,0.48,2,143,3,0,1,0,sales,low
Elizabeth Legace,0.46,0.55,2,129,3,0,1,0,sales,low
Carolyn Claytor,0.09,0.83,6,255,4,0,1,0,sales,low
Brian Sluder,0.37,0.51,2,155,3,0,1,0,sales,low
Mary Hudson,0.1,0.77,6,265,4,0,1,0,sales,low
Shirley Johnson,0.1,0.84,6,279,4,0,1,0,sales,low
Dena Ridley,0.11,0.97,6,284,4,0,1,0,sales,low
Vernon Tuley,0.9,1,5,221,6,0,1,0,sales,medium
Raymond Brown,0.38,0.52,2,154,3,0,1,0,sales,medium
Terri Pearson,0.36,0.52,2,147,3,0,1,0,sales,medium
William Warren,0.42,0.46,2,150,3,0,1,0,sales,medium
Agnes Harris,0.09,0.94,7,267,4,0,1,0,sales,medium
Robert Chabot,0.43,0.52,2,158,3,0,1,0,sales,medium
Richard Bozell,0.24,0.46,7,224,5,0,1,0,accounting,medium
Mildred Eversoll,0.91,1,4,257,5,0,1,0,accounting,medium
Aurelio Sheth,0.44,0.5,2,148,3,0,1,0,accounting,medium
Sharon Waters,0.71,0.87,3,177,4,0,1,0,hr,medium
Chelsea Latta,0.4,0.49,2,155,3,0,1,0,hr,medium
Steven Pannell,0.43,0.47,2,144,3,0,1,0,hr,medium
Wiley Wetzel,0.09,0.85,6,289,4,0,1,0,hr,high
Charles Metcalf,0.43,0.52,2,160,3,0,1,0,technical,low
Jacqueline Bailey,0.9,0.96,4,258,5,0,1,0,technical,medium
Sherri Johnson,0.84,1,5,234,5,0,1,0,technical,medium
Dixie Robbins,0.37,0.48,2,137,3,0,1,0,technical,medium
Juan Avallone,0.86,0.68,5,263,2,0,1,0,technical,medium
Peter Dover,0.11,0.84,6,251,4,0,1,0,technical,low
Lauren Mink,0.37,0.57,2,133,3,0,1,0,technical,low
Kelly Rosenstock,0.4,0.46,2,132,3,0,1,0,technical,low
Maxine Edwards,0.14,0.62,4,158,4,1,1,0,technical,low
Cornelius Wright,0.4,0.46,2,135,3,0,1,0,technical,low
Robert Mcdonald,0.75,1,4,216,6,0,1,0,technical,low
Virgil Huntsinger,0.11,0.84,6,300,5,1,1,0,support,low
Sandra Tondreau,0.46,0.49,2,138,3,0,1,0,support,low
Robert Heminger,0.11,0.92,6,260,4,0,1,0,support,low
Casey Lafayette,0.38,0.49,2,132,3,0,1,0,support,low
Helen Fleming,0.7,0.89,3,183,5,0,1,0,support,low
Allen Hamilton,0.09,0.82,6,250,4,0,1,0,support,low
Aisha Crites,0.37,0.45,2,151,3,0,1,0,support,low
Kenneth Stanford,0.1,0.83,6,292,4,0,1,0,support,low
Frank Newsom,0.38,0.57,2,140,3,0,1,0,support,low
Marjorie Wilborn,0.9,1,5,221,5,0,1,0,support,low
Juanita Yu,0.44,0.51,2,138,3,0,1,0,support,low
Silvia Eastwood,0.36,0.5,2,132,3,0,1,0,technical,low
Connie Louder,0.31,0.84,7,133,5,0,1,0,technical,low
David Casto,0.1,0.84,6,283,4,1,1,0,technical,low
Marilyn King,0.42,0.48,2,129,3,0,1,0,management,low
James Johnson,0.74,1,4,249,5,0,1,0,IT,low
James Cowie,0.73,0.87,5,257,5,0,1,0,IT,low
James Obrian,0.09,0.96,6,245,4,0,1,0,IT,low
Tiffany Camacho,0.45,0.53,2,155,3,0,1,0,IT,low
Anibal Rager,0.11,0.8,6,256,4,0,1,0,IT,low
Allison Fuller,0.37,0.47,2,152,3,0,1,0,product_mng,low
Moises Yang,0.84,0.99,4,267,5,0,1,0,product_mng,low
Benjamin Swisher,0.41,0.46,2,151,3,0,1,0,product_mng,low
Grace Mullins,0.76,0.92,4,239,5,0,1,0,product_mng,low
Susan Deblase,0.11,0.87,6,306,4,0,1,0,IT,low
Thora West,0.84,0.88,4,263,5,1,1,0,marketing,low
Ed Mandolini,0.39,0.5,2,147,3,0,1,0,marketing,low
Karen Behring,0.11,0.91,6,278,4,0,1,0,marketing,low
Dena Jones,0.45,0.56,2,154,3,0,1,0,marketing,low
Kevin Dixon,0.37,0.52,2,143,3,0,1,0,marketing,low
Mark Owens,0.4,0.52,2,155,3,0,1,0,marketing,low
Marvin Paladino,0.39,0.48,2,160,3,0,1,0,sales,low
Kelvin Cook,0.11,0.8,6,304,4,0,1,0,accounting,low
Kirk Rasmussen,0.83,1,5,240,5,0,1,0,support,low
Justin Thomas,0.11,0.92,6,305,4,0,1,0,technical,low
