id,names,satisfaction_level,last_evaluation,number_project,average_monthly_hours,exp_in_company,work_accident,promotion_last_5years,role,salary,salary_class,role_class
2237,Paul Mathey,0.74,0.72,4,176,3,0,0,sales,low,1,1
8127,Shawn Torres,0.72,0.88,3,224,3,0,0,technical,low,1,2
8146,Emily Staples,0.52,0.67,4,216,3,0,0,support,medium,2,3
14441,Jean Salazar,0.42,0.47,2,159,3,0,0,marketing,low,1,6
11909,Javier Folse,0.85,0.58,4,186,7,0,0,sales,medium,2,1
8792,Angela Williams,0.71,0.87,4,238,3,0,0,sales,low,1,1
11144,John Barnes,0.89,0.97,4,147,2,0,0,technical,low,1,2
2458,Ricky Humes,0.18,0.75,4,170,5,0,0,sales,low,1,1
11417,Caroline Lower,0.16,0.46,6,240,2,0,0,product_mng,low,1,5
1974,Kimberly Brennan,0.36,0.48,2,152,3,0,0,product_mng,medium,2,5
4409,Leon Moody,0.86,0.66,4,191,2,0,0,technical,low,1,2
13805,Sonia Dawkins,0.83,0.55,3,271,7,0,0,sales,medium,2,1
5367,Katheryn Crone,0.92,0.58,3,261,3,1,0,sales,medium,2,1
13902,Debbie Trinka,0.22,0.62,3,180,3,0,0,support,low,1,3
11969,Evan Dennard,0.6,0.85,3,242,2,0,0,IT,low,1,4
8328,Russell Grogan,0.75,0.84,4,195,3,0,0,marketing,low,1,6
3009,Elizabeth Fisher,0.95,0.71,3,251,2,1,0,hr,low,1,9
12905,Debra Stevenson,0.97,0.9,5,262,3,0,0,sales,medium,2,1
5243,John Feauto,0.67,0.64,5,248,3,0,0,support,medium,2,3
792,Barbara Silvia,0.9,0.83,5,259,5,0,0,accounting,low,1,8
3304,Frank Campbell,0.8,0.54,5,261,2,0,0,sales,medium,2,1
14764,Zachary Gahan,0.79,1,5,257,6,0,0,sales,low,1,1
23,Helen Wendte,0.46,0.57,2,139,3,0,0,sales,low,1,1
3906,Stephen Massie,0.98,0.99,5,141,3,0,0,sales,low,1,1
1650,Billie Spicer,0.77,0.98,4,238,6,0,0,support,low,1,3
12599,Waldo Sandiford,0.11,0.92,7,307,4,0,0,IT,low,1,4
12171,Walter Simpson,0.41,0.46,2,160,3,0,1,sales,low,1,1
5426,Minnie Desjardins,0.77,0.89,3,142,3,0,0,marketing,low,1,6
4415,Lindsey Robin,0.65,0.55,5,215,2,0,0,IT,low,1,4
8330,Carl Harriman,0.51,0.54,4,166,4,1,0,sales,low,1,1
5428,Corey Bealer,0.57,0.43,3,167,3,0,0,sales,medium,2,1
11768,Darryl Spain,0.8,0.84,4,242,2,1,0,marketing,low,1,6
7036,Mable Burgess,0.97,0.82,4,176,2,0,0,sales,low,1,1
14891,Harold Brown,0.85,0.87,5,246,5,1,0,sales,medium,2,1
13518,Matthew Martinez,0.72,0.62,3,243,2,1,0,hr,low,1,9
13064,James Messinger,0.58,0.38,4,203,5,0,0,sales,low,1,1
14410,Pamela Thomson,0.77,0.94,5,226,6,0,0,support,low,1,3
8699,Calvin Chandler,0.65,0.66,6,240,4,0,0,RandD,medium,2,7
12809,Sarah Combest,0.52,0.98,4,265,3,0,0,product_mng,medium,2,5
4879,Judith Maobi,0.43,0.62,2,180,3,0,0,RandD,low,1,7
8509,James Free,0.6,0.98,4,192,3,0,0,technical,low,1,2
7784,Donald Clark,0.64,0.85,3,250,3,0,0,marketing,low,1,6
2575,Mary Wilson,0.89,0.83,5,267,4,0,0,technical,low,1,2
1021,Stephanie Jubilee,0.8,0.95,3,146,5,0,0,hr,low,1,9
158,Sharon Curry,0.39,0.5,2,136,3,0,0,management,low,1,11
1778,Joseph Kuster,0.85,0.9,2,168,2,0,0,sales,medium,2,1
8027,Christiane Frizzell,0.86,0.79,3,106,6,1,0,sales,medium,2,1
1082,Ilana Stgermain,0.87,0.88,5,231,6,0,0,sales,medium,2,1
7193,Luann Enciso,0.66,0.98,4,163,3,1,0,sales,low,1,1
7733,Lisa Devilla,0.92,0.8,3,211,4,0,0,sales,low,1,1
6701,Mary Jackson,0.66,0.72,4,223,4,0,0,IT,low,1,4
3255,Charles Bilotto,0.48,0.57,5,227,3,0,0,support,medium,2,3
6067,Rebecca Tonge,0.66,0.61,3,156,3,1,0,technical,medium,2,2
5215,Philip Jackson,0.8,0.51,4,213,3,0,0,sales,medium,2,1
